S.No.,Timestamp,QuestionId,ResponseId,QuestionDesc,ResultText,ResultTextPred,Summary,SentimentRating,access_to_resources/info,Communication/Responsiveness,Customer Service/Support,Delivery,General Negative,General Positive,Immaterial Feedback,Installation,Knowledge/Expertise,Meet Needs/Requirements/Commitments
1,02/10/2022 03:55:23,_1_Q06_2,R_6SDbLxHOZDERRDT,Other Reason for Ease of Scheduling Onsite Service,service was not available.,service was not available,service was not available,2,0,1,1,0,1,0,0,0,0,0
2,02/10/2022 03:55:23,_1_Q06_2,R_8IgKjnenMZ5qjgF,Other Reason for Ease of Scheduling Onsite Service,Staff appeared not too early or had to go through subsequent appointment to rush again,Staff appeared not too early and had to go through subsequent appointment to rush again,staff not early and subsequent appointments,2,1,1,0,0,1,0,0,0,0,0
3,02/10/2022 03:55:23,_1_Q06_2,R_9n0FMUvPkho1I8Z,Other Reason for Ease of Scheduling Onsite Service,It's been a long time since I called Agilent to arrange Engineers.,It's been a long time since I called Agilent to arrange Engineers.,long time since I called Agilent for engineer,3,0,0,0,0,0,0,0,0,0,0
4,02/10/2022 03:55:23,_1_Q06_2,R_eJKhZ1p3WodlGkd,Other Reason for Ease of Scheduling Onsite Service,No communication until we chased them up and wasting our time,No communication until we chased them up and wasting our time,No communication until we chased them up and wasting our time,2,0,0,0,0,0,0,0,0,0,0
5,02/10/2022 03:55:23,_1_Q06_2,R_doHmvSeSUs3VPcp,Other Reason for Ease of Scheduling Onsite Service,"It has been indicated that the malfunction of the instrument in Shanghai needs repairing. Because I am affiliated with the company in Wuhan, customer service is always transferred to the dispatch of Wuhan. Back to Shanghai, very delayed maintenance progress.","It has been indicated that the malfunction of the instrument in Shanghai needs repairing. Because I am affiliated with the company in Wuhan, customer service is always transferred to the dispatch of Wuhan. Back to Shanghai, very delayed maintenance progress.","malfunction of the instrument, customer service always transferred to the dispatch and very delayed maintenance",2,0,0,0,0,0,0,0,0,0,0
6,02/10/2022 03:55:23,_1_Q06_2,R_9nvGRnBGiQ18KBT,Other Reason for Ease of Scheduling Onsite Service,Very difficult to organize because several representative Agilent involved,Very difficult to organize because several representative Agilent involved,Very difficult to organize because several representative Agilent involved,2,0,0,0,0,0,0,0,0,0,0
8,02/10/2022 03:55:14,_1_Q05_TR_3,R_6X7AuP3Pj4FF3Yp,Other Reason for Ability to Diagnose Issue,pas de réponse à mon problème,no answer to my problem,no answer to my problem,2,0,0,0,0,0,0,0,0,0,0
9,02/10/2022 03:55:14,_1_Q05_TR_3,R_6nSuvdVeOaVZLp3,Other Reason for Ability to Diagnose Issue,??????????????????????????????????????,"Although there is a lack of explanation here, I decided to check the steps that I had never done.",lack of explanation and decided to check the steps,3,0,0,0,0,0,0,0,0,0,0
10,02/10/2022 03:55:14,_1_Q05_TR_3,R_79ZxrSoxgrt5YoJ,Other Reason for Ability to Diagnose Issue,??????????????????????????????????????????????????????????,"There are differences depending on the person in charge, perhaps due to the specialist's expertise. One person in charge will say no, but another person will give a different answer or suggestion","differences depending on the person in charge, one person in charge will say no, but another person will give different answer or suggestion",2,0,0,0,0,0,0,0,0,0,0
11,02/10/2022 03:55:14,_1_Q05_TR_3,R_7aqQCSRMe9SQygJ,Other Reason for Ability to Diagnose Issue,?????????????????????????????????????????,Almost the same as other companies support systems. There were no elements that could be judged to be very good in recent projects.,same as other companies support systems and no elements that could be judged,2,0,0,0,0,0,0,0,0,0,0
12,02/10/2022 03:55:14,_1_Q05_TR_3,R_8BQuesB3VoY4cSh,Other Reason for Ability to Diagnose Issue,????????????????????????,I think this is a good level of communication.,good level of communication,4,0,0,0,0,0,0,0,0,0,0
13,02/10/2022 03:55:14,_1_Q05_TR_3,R_baouqUAvKIxQciV,Other Reason for Ability to Diagnose Issue,"O tecnico estava atendendo a outros chamados e demorou um pouco pra conseguir me atender, ele diagnosticou o meu problema por email.","The technician was answering other calls and it took him a while to get to me, he diagnosed my problem via email.",technician was answeing other calls and it took him a while to diagnosed my problem ,2,0,0,0,0,0,0,0,0,0,0
14,02/10/2022 03:55:14,_1_Q05_TR_3,R_eksn3dhGrhRZ4j3,Other Reason for Ability to Diagnose Issue,se ovenstående,see above,see above,3,0,0,0,0,0,0,0,0,0,0
15,02/10/2022 03:55:14,_1_Q05_TR_3,R_4JdVjW1hrQUfejr,Other Reason for Ability to Diagnose Issue,ver comentario anterior,see previous comment,see previous comment,3,0,0,0,0,0,0,0,0,0,0
16,02/10/2022 03:55:14,_1_Q05_TR_3,R_4OyxQ3r5vG4G0UR,Other Reason for Ability to Diagnose Issue,???????????????,The communication pictures on the WeChat official account are too unclear,communication pictures on the WeChat official account are too unclear,3,0,0,0,0,0,0,0,0,0,0
